Number of nodes,Density (%),Seed,Data structure,Memory Usage (kB),Duration Dijkstra (µs),Duration Johnson (µs),
1000,5,42,Adjacency List,2904,16625,0
1000,5,42,Adjacency Matrix,11872,100114,0
1000,5,42,Csr,572,9442,0
1000,5,420,Adjacency List,2904,8788,0
1000,5,420,Adjacency Matrix,11804,88069,0
1000,5,420,Csr,592,9028,0
1000,5,13,Adjacency List,2904,9163,0
1000,5,13,Adjacency Matrix,11804,80008,0
1000,5,13,Csr,588,8745,0
1000,5,135,Adjacency List,2904,8867,0
1000,5,135,Adjacency Matrix,11804,80331,0
1000,5,135,Csr,596,9000,0
1000,10,42,Adjacency List,6600,21366,0
1000,10,42,Adjacency Matrix,11872,97662,0
1000,10,42,Csr,1128,18211,0
1000,10,420,Adjacency List,6600,29048,0
1000,10,420,Adjacency Matrix,11616,98091,0
1000,10,420,Csr,1056,18248,0
1000,10,13,Adjacency List,6600,21867,0
1000,10,13,Adjacency Matrix,11616,97292,0
1000,10,13,Csr,1264,19714,0
1000,10,135,Adjacency List,6600,19193,0
1000,10,135,Adjacency Matrix,11616,99953,0
1000,10,135,Csr,1284,20159,0
1000,15,42,Adjacency List,10032,37599,0
1000,15,42,Adjacency Matrix,11804,104835,0
1000,15,42,Csr,1700,51043,0
1000,15,420,Adjacency List,10032,30526,0
1000,15,420,Adjacency Matrix,11804,107232,0
1000,15,420,Csr,1692,28577,0
1000,15,13,Adjacency List,9768,27734,0
1000,15,13,Adjacency Matrix,11540,102981,0
1000,15,13,Csr,1900,29068,0
1000,15,135,Adjacency List,9768,36751,0
1000,15,135,Adjacency Matrix,11616,104926,0
1000,15,135,Csr,1804,27448,0
1000,20,42,Adjacency List,13992,37858,0
1000,20,42,Adjacency Matrix,11616,117893,0
1000,20,42,Csr,2428,38353,0
1000,20,420,Adjacency List,13728,38815,0
1000,20,420,Adjacency Matrix,11616,115417,0
1000,20,420,Csr,2368,37198,0
1000,20,13,Adjacency List,13728,37594,0
1000,20,13,Adjacency Matrix,11616,115693,0
1000,20,13,Csr,2340,37372,0
1000,20,135,Adjacency List,13728,39271,0
1000,20,135,Adjacency Matrix,11616,115048,0
1000,20,135,Csr,2380,37202,0
1000,25,42,Adjacency List,17688,74826,0
1000,25,42,Adjacency Matrix,11824,130012,0
1000,25,42,Csr,2984,49797,0
1000,25,420,Adjacency List,17688,75811,0
1000,25,420,Adjacency Matrix,11880,131953,0
1000,25,420,Csr,2932,46930,0
1000,25,13,Adjacency List,17952,46964,0
1000,25,13,Adjacency Matrix,11880,127072,0
1000,25,13,Csr,2884,49487,0
1000,25,135,Adjacency List,17952,47302,0
1000,25,135,Adjacency Matrix,11880,128654,0
1000,25,135,Csr,2880,48995,0
1000,30,42,Adjacency List,20856,56621,0
1000,30,42,Adjacency Matrix,11880,139020,0
1000,30,42,Csr,3492,57591,0
